 ,Question,Response,Source
Q001,Complete legal name of vendor:,"Acme Analytics, Inc.","Northwind Capital Management LP, Apr 2025"
Q002,Are you a new or existing vendor?,New,"Northwind Capital Management LP, Apr 2025"
Q003,Principal business address:,"100 Market Street, Suite 400, San Francisco, CA 94105","Northwind Capital Management LP, Apr 2025"
Q004,"Type of Company, incorporation date and jurisdiction:","We are a U.S. based company that was established in 2010. Acme Analytics provides a cloud-based data and analytics platform that aggregates and de-identifies retail and operational datasets, delivering predictive insights through a single API. We serve businesses, enterprises, and service providers across multiple verticals.","Northwind Capital Management LP, Apr 2025"
Q005,Approximately how many people do you employ?,> 50 (US),"Northwind Capital Management LP, Apr 2025"
Q006,Please identify legal and/or compliance personnel who can be contacted with questions regarding your responses.,"compliance@acme.example","Northwind Capital Management LP, Apr 2025"
Q007,Please identify all owners who hold more than 30 percent of the equity interests in vendor.,None,"Northwind Capital Management LP, Apr 2025"
Q008,Please provide a description of the data that would be provided.,"De-identified, aggregated transaction-level and operational data derived from our platform. All datasets are de-identified prior to delivery and contain no personally identifiable information.","Northwind Capital Management LP, Apr 2025"
Q009,"Are any parties not affiliated with the firm involved in the data supply chain? If YES, please describe.",No,"Northwind Capital Management LP, Apr 2025"
Q010,Approximately how many total subscribers receive this data?,> 15,"Northwind Capital Management LP, Apr 2025"
Q011,"Is your firm registered with any government or self-regulatory organization in connection with a regulated business activity?",No,"Northwind Capital Management LP, Apr 2025"
Q012,"Has the company, or any affiliate, principal or employee, ever been convicted of or pled guilty to a felony?",No,"Northwind Capital Management LP, Apr 2025"
Q013,"Has the company, or any affiliate, ever been the subject of a lawsuit or arbitration alleging fraud?",No,"Northwind Capital Management LP, Apr 2025"
Q014,"Do you maintain a SOC 2 report? If so, which type and what is the reporting period?","Yes, we maintain a SOC 2 Type II report covering Security, Availability, and Confidentiality. The report is issued annually by an independent third-party auditor and is available under NDA upon request.","Cedar Grove Partners LP, Jan 2025"
Q015,Do you have an information security policy? Please describe.,"Yes, we maintain a formal Information Security Policy that is reviewed and approved by management at least annually. It covers access control, encryption, network security, change management, vendor risk, and acceptable use, and is communicated to all personnel.","Cedar Grove Partners LP, Jan 2025"
Q016,How is data encrypted in transit and at rest?,"All data is encrypted in transit using TLS 1.2 or higher and at rest using AES-256. Encryption keys are managed through a dedicated key management service with restricted access.","Cedar Grove Partners LP, Jan 2025"
Q017,Do you conduct background checks on employees?,"Yes, we conduct background checks on all employees prior to employment, in accordance with applicable law.","Cedar Grove Partners LP, Jan 2025"
Q018,Do you provide security awareness training to employees? If so, how often and what topics are covered?,"Yes, we conduct mandatory security awareness training for all employees upon hire and at least annually thereafter. Topics include phishing, data handling, privacy, incident reporting, and acceptable use.","Cedar Grove Partners LP, Jan 2025"
Q019,Do you have a documented incident response plan?,"Yes, we maintain a documented Incident Response Plan that defines roles, escalation paths, containment and remediation steps, and notification procedures. The plan is tested periodically through tabletop exercises.","Atlas Asset Management LLC, Nov 2024"
Q020,What is your data breach notification process?,"In the event of a confirmed data breach, we notify affected customers without undue delay and in accordance with contractual and regulatory requirements. Notifications include the nature of the incident, data involved, and remediation steps taken.","Atlas Asset Management LLC, Nov 2024"
Q021,How long do you retain customer data?,"We retain customer data only as long as necessary to provide our services and to meet legal and regulatory obligations, after which it is securely deleted in accordance with our data retention policy.","Atlas Asset Management LLC, Nov 2024"
Q022,Do you perform penetration testing? How frequently?,"Yes, we engage an independent third party to perform penetration testing at least annually, and we remediate findings based on risk severity.","Atlas Asset Management LLC, Nov 2024"
Q023,Where is your data hosted?,"Our platform is hosted on a major public cloud provider within U.S.-based regions, leveraging the provider's physical and environmental security controls.","Atlas Asset Management LLC, Nov 2024"
Q024,Do you maintain cyber liability insurance?,"Yes, we maintain cyber liability insurance. Coverage details are available under NDA upon request.","Blue Harbor Capital LP, Aug 2024"
Q025,Do you have a business continuity and disaster recovery plan?,"Yes, we maintain Business Continuity and Disaster Recovery plans that are reviewed annually and tested periodically. Our infrastructure uses redundant, geographically separated availability zones.","Blue Harbor Capital LP, Aug 2024"
Q026,How do you manage access control and user permissions?,"We enforce role-based access control on a least-privilege basis. Access requires multi-factor authentication, is reviewed periodically, and is revoked promptly upon role change or termination.","Blue Harbor Capital LP, Aug 2024"
Q027,Do you use subcontractors or third parties to process data? If so, how are they vetted?,"Where we engage third-party subprocessors, each is subject to a security and privacy due diligence review and is bound by contractual data protection obligations.","Blue Harbor Capital LP, Aug 2024"
Q028,How many years has the company been in business?,"We have been in business since 2010.","Meridian Data Partners LP, Mar 2025"
Q029,Do you comply with applicable privacy regulations such as GDPR and CCPA?,"Yes, we maintain a privacy program designed to comply with applicable data protection regulations, including GDPR and CCPA where relevant. Our practices are described in our published Privacy Policy.","Meridian Data Partners LP, Mar 2025"
Q030,Is personally identifiable information (PII) included in the data you provide?,"No. All data is de-identified prior to delivery and contains no personally identifiable information.","Meridian Data Partners LP, Mar 2025"
